time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-08-24T23:26:54.375Z,-59.8418,-25.4904,10,5,mb,,89,8.176,0.68,us,us7000f3f9,2021-08-24T23:46:11.040Z,"South Sandwich Islands region",earthquake,9.2,1.9,0.08,49,reviewed,us,us
2021-08-24T23:17:05.100Z,38.5436667,-119.4575,3.93,2.52,md,20,73,0.04212,0.09,nc,nc73614951,2021-08-26T20:11:13.972Z,"28km SSW of Smith Valley, NV",earthquake,0.23,0.38,0.18,39,reviewed,nc,nc
2021-08-24T21:10:06.246Z,-16.9675,-69.5824,188.6,4.2,mb,,120,0.626,1.17,us,us7000f3dx,2021-08-25T19:58:04.176Z,"28 km SSE of Mazo Cruz, Peru",earthquake,8.3,4.9,0.187,8,reviewed,us,us
2021-08-24T20:47:54.410Z,19.3845,-155.279166666667,1.49,2.73,ml,22,60,,0.1,hv,hv72667177,2021-08-24T20:57:13.080Z,"8 km SW of Volcano, Hawaii",earthquake,0.17,0.22,0.111315449011438,11,reviewed,hv,hv
2021-08-24T19:54:47.573Z,29.4744873,-96.9464614,8.26570638,2.7,ml,18,164,0.1979495643,0.3,tx,tx2021qowq,2021-08-25T15:27:57.604Z,"3 km N of Hallettsville, Texas",earthquake,2.843401996,2.898094798,0.2,11,reviewed,tx,tx
2021-08-24T19:49:35.473Z,52.5996,-168.2868,47.9,4.2,mb,,151,0.508,0.91,us,us7000f3cs,2021-08-24T22:18:20.040Z,"54 km SE of Nikolski, Alaska",earthquake,5.3,7.8,0.063,70,reviewed,us,us
2021-08-24T19:39:37.223Z,-12.3196,-77.3229,34.56,4.4,mb,,157,0.574,0.4,us,us7000f3cq,2021-08-25T12:41:03.927Z,"36 km SW of Callao, Peru",earthquake,5.2,7.8,0.123,23,reviewed,us,us
2021-08-24T19:38:03.674Z,27.3843,129.426,10,5,mww,,90,1.164,0.98,us,us7000f3cn,2021-08-24T20:02:53.040Z,"109 km S of Naze, Japan",earthquake,6.1,1.9,0.098,10,reviewed,us,us
2021-08-24T19:36:54.920Z,17.883,-66.8623,7,2.98,md,20,214,0.2014,0.17,pr,pr2021236011,2021-08-24T19:55:31.554Z,"10 km SSE of Maria Antonia, Puerto Rico",earthquake,0.52,0.35,0.18,19,reviewed,pr,pr
2021-08-24T19:15:00.870Z,19.2568,-67.252,5,3.24,md,11,291,0.8018,0.26,pr,pr2021236010,2021-08-24T21:16:15.040Z,"86 km N of San Antonio, Puerto Rico",earthquake,8.95,8.99,0.08,6,reviewed,pr,pr
2021-08-24T19:14:08.617Z,-24.1731,-67.4699,234.66,4.3,mb,,181,1.378,1.7,us,us7000f3c9,2021-08-24T21:09:07.040Z,"117 km W of San Antonio de los Cobres, Argentina",earthquake,4,10.2,0.377,3,reviewed,us,us
2021-08-24T18:48:39.531Z,-60.5445,-24.8918,10,5,mb,,60,8.852,0.64,us,us7000f3c2,2021-08-25T15:15:02.040Z,"South Sandwich Islands region",earthquake,10.4,1.8,0.073,62,reviewed,us,us
2021-08-24T18:17:54.802Z,4.0982,126.6868,61.23,4.5,mb,,109,3.373,0.81,us,us7000f3c0,2021-08-24T20:33:32.040Z,"198 km SE of Sarangani, Philippines",earthquake,8.1,7.2,0.077,54,reviewed,us,us
2021-08-24T17:55:41.747Z,31.70282091,-104.1417965,6.645727539,2.7,ml,20,60,0.0722392915,0.2,tx,tx2021qoss,2021-08-24T19:14:32.040Z,"51 km W of Mentone, Texas",earthquake,0.9634087865,1.029290167,0.2,13,reviewed,tx,tx
